NAMES                  IMAGE                                                                           STATUS                   PORTS
docker-celery-1        ghcr.io/cyranoaladin/korrigo-backend:a6f2bc9d10a154b7d7629f0ca5ce2ed3007b13b4   Up 6 minutes (healthy)   
docker-backend-1       ghcr.io/cyranoaladin/korrigo-backend:a6f2bc9d10a154b7d7629f0ca5ce2ed3007b13b4   Up 6 minutes (healthy)   8000/tcp
infra-ollama-1         ollama/ollama:0.3.13                                                            Up 12 hours (healthy)    11434/tcp
nexus-next-app         nexus-next-app                                                                  Up 26 hours (healthy)    0.0.0.0:3001->3000/tcp, [::]:3001->3000/tcp
nexus-postgres-db      postgres:15-alpine                                                              Up 4 days (healthy)      0.0.0.0:5435->5432/tcp, [::]:5435->5432/tcp
infra-redis-1          redis:7-alpine                                                                  Up 6 days (healthy)      127.0.0.1:6381->6379/tcp
infra-postgres-1       pgvector/pgvector:pg15                                                          Up 6 days (healthy)      127.0.0.1:5434->5432/tcp
infra-ingestor-1       infra-ingestor                                                                  Up 6 days (healthy)      127.0.0.1:8001->8001/tcp
infra-chroma-1         chromadb/chroma:1.1.1                                                           Up 6 days (healthy)      8000/tcp
docker-frontend-1      docker-frontend                                                                 Up 2 days                127.0.0.1:5173->5173/tcp
docker-nginx-1         ghcr.io/cyranoaladin/korrigo-nginx:a6f2bc9d10a154b7d7629f0ca5ce2ed3007b13b4     Up 6 days (healthy)      127.0.0.1:8088->80/tcp
docker-celery-beat-1   ghcr.io/cyranoaladin/korrigo-backend:a6f2bc9d10a154b7d7629f0ca5ce2ed3007b13b4   Up 6 days                
docker-db-1            postgres:15-alpine                                                              Up 6 days (healthy)      127.0.0.1:5432->5432/tcp
docker-redis-1         redis:7-alpine                                                                  Up 6 days (healthy)      6379/tcp
mfai-api               journey-mfai-mfai-api                                                           Up 6 days                3000/tcp, 127.0.0.1:3002->3002/tcp
nexus-whatsapp         atendai/evolution-api:v2.1.1                                                    Up 2 days (healthy)      127.0.0.1:8081->8080/tcp
nexus-whatsapp-db      postgres:15-alpine                                                              Up 6 days (healthy)      5432/tcp
nexus-n8n              docker.n8n.io/n8nio/n8n                                                         Up 6 days                127.0.0.1:5678->5678/tcp
mfai-mongo             mongo:6                                                                         Up 6 days (healthy)      127.0.0.1:27017->27017/tcp
nexus-whatsapp-redis   redis:7-alpine                                                                  Up 9 days (healthy)      6379/tcp
mfai-redis             ee64a64eaab6                                                                    Up 10 days               127.0.0.1:6380->6379/tcp
infra-ui-1             infra-ui                                                                        Up 10 days               127.0.0.1:18501->8501/tcp
infra-prometheus-1     prom/prometheus:v2.54.1                                                         Up 10 days (healthy)     127.0.0.1:19090->9090/tcp
