student_id,partie1,e2_q1,e2_q2,e2_q3,e2_q4,e2_q5,e3_q1,e3_q2,e3_q3,e3_q4,e3_q5,e4_q1,e4_q2,e4_q3,e4_q4,e5_q1,e5_q2,e5_q3,e5_q4a,e5_q4b,e5_q4c,e5_q4d
ELEVE_01,5.5,0.5,0.5,0.5,0.5,1,0.75,0.75,0.75,0.75,0.5,0.5,0.5,1,1,0.5,0.5,0.5,1,1,0.5,0.5
ELEVE_02,3,0.5,0,0.5,0,0,0.75,0,0.75,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0
ELEVE_03,4,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0,1,0.5,0.5,0.5,0.5,1,0.5,0,0.5
ELEVE_04,2,0.5,0,0,0,0,0.75,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0
ELEVE_05,5,0.5,0.5,0,0.5,0.5,0.75,0,0.75,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0
ELEVE_06,6,0.5,0.5,0.5,0.5,1,0.75,0.75,0.75,0.75,0.5,0.5,0.5,1,1,0.5,0.5,0.5,1,1,0.5,0.5
ELEVE_07,5,0.5,0.5,0.5,0,0,0,0.75,0,0.75,0,0.5,0,0,0,0,0,0,0,0,0,0
ELEVE_08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELEVE_09,4,0.5,0.5,0.5,0.5,1,0.75,0.75,0.75,0.75,0.5,0.5,0.5,1,1,0.5,0.5,0.5,1,1,0.5,0
ELEVE_10,5.5,0.5,0.5,0.5,0.5,1,0.75,0.75,0.75,0.75,0.5,0.5,0.5,1,1,0.5,0.5,0.5,1,0,0.5,0.5
